funding_time,product_id,funding_rate,index_price,settlement_price,mid,price,open_interest,volume_24h,fetched_at
2026-09-04T19:00:00Z,NER-20DEC30-CDE,2.6e-05,2.0774,1.9821,2.0792,2.0755,1305,9530,2026-09-04T19:24:13Z
2026-09-04T19:00:00Z,OND-20DEC30-CDE,-7e-06,0.356663,0.3676,0.35665,0.3567,5029,10743,2026-09-04T19:24:13Z
2026-09-04T19:00:00Z,PAU-20DEC30-CDE,2e-06,4430.412453,4475.7,4432.95,4433,1156,2184,2026-09-04T19:24:13Z
2026-09-04T19:00:00Z,PEP-20DEC30-CDE,1.2e-05,0.00356,0.00381,0.003565,0.00356,609,5155,2026-09-04T19:24:13Z
2026-09-04T19:00:00Z,POP-20DEC30-CDE,-8e-06,0.874701,0.896,0.8775,0.875,4413,5177,2026-09-04T19:24:13Z
2026-09-04T19:00:00Z,SHP-20DEC30-CDE,1e-05,0.00522,0.00544,0.00522,0.0052,3082,4802,2026-09-04T19:24:13Z
2026-09-04T19:00:00Z,SLP-20DEC30-CDE,2e-06,101.878594,105.24,101.89,101.85,36037,64945,2026-09-04T19:24:13Z
2026-09-04T19:00:00Z,SUP-20DEC30-CDE,1e-05,0.758002,0.7897,0.75865,0.7584,5041,17818,2026-09-04T19:24:13Z
2026-09-04T19:00:00Z,TEK-19DEC30-CDE,2e-06,3962.827496,3976.5,3963.4,3962.9,597,4809,2026-09-04T19:24:13Z
2026-09-04T19:00:00Z,US5-19DEC30-CDE,-5e-06,3109.73409,3124.3,3109.15,3109.5,1288,3568,2026-09-04T19:24:13Z
2026-09-04T19:00:00Z,XLP-20DEC30-CDE,1e-06,0.179313,0.18797,0.17935,0.17911,3820,8314,2026-09-04T19:24:13Z
2026-09-04T19:00:00Z,XPP-20DEC30-CDE,6e-06,1.403064,1.4734,1.40385,1.4037,48880,143967,2026-09-04T19:24:13Z
2026-09-04T19:00:00Z,ZEC-20DEC30-CDE,-8e-06,1031.661209,970,1035.725,1035.25,8196,85242,2026-09-04T19:24:13Z
2026-09-04T20:00:00Z,ADP-20DEC30-CDE,2e-06,0.212541,0.2224,0.21265,0.2124,10379,39432,2026-09-04T20:31:22Z
2026-09-04T20:00:00Z,AIP-19DEC30-CDE,1e-06,2956.468298,2953.8,2955.9,2957.2,656,1546,2026-09-04T20:31:22Z
2026-09-04T20:00:00Z,AVE-20DEC30-CDE,-1e-06,130.305679,134.17,130.38,130.45,1092,3511,2026-09-04T20:31:22Z
2026-09-04T20:00:00Z,AVP-20DEC30-CDE,-4.2e-05,7.374899,7.53,7.37,7.37,8142,6713,2026-09-04T20:31:22Z
2026-09-04T20:00:00Z,BCP-20DEC30-CDE,6e-06,253.004883,259.65,253.15,253.05,1665,40627,2026-09-04T20:31:22Z
2026-09-04T20:00:00Z,BIP-20DEC30-CDE,3e-06,79779.178207,81805,79795,79790,216952,825420,2026-09-04T20:31:22Z
2026-09-04T20:00:00Z,BNB-20DEC30-CDE,4e-06,719.453575,724.55,719.45,720.9,341,882,2026-09-04T20:31:22Z
2026-09-04T20:00:00Z,CHN-19DEC30-CDE,-1.5e-05,2948.848359,2923.9,2946.8,2945.1,256,1039,2026-09-04T20:31:22Z
2026-09-04T20:00:00Z,DEF-19DEC30-CDE,-1.1e-05,2754.125034,2791.9,2752.1,2751.9,191,458,2026-09-04T20:31:22Z
2026-09-04T20:00:00Z,DOP-20DEC30-CDE,-3e-06,0.084701,0.08934,0.084745,0.08466,2397,10282,2026-09-04T20:31:22Z
2026-09-04T20:00:00Z,ENA-20DEC30-CDE,5e-06,0.163651,0.17095,0.16399,0.16374,1071,16437,2026-09-04T20:31:22Z
2026-09-04T20:00:00Z,ETP-20DEC30-CDE,8e-06,2453.346661,2519,2454,2453.5,314677,413629,2026-09-04T20:31:22Z
2026-09-04T20:00:00Z,HEP-20DEC30-CDE,-3e-06,0.077801,0.07969,0.07785,0.07785,2188,16674,2026-09-04T20:31:22Z
2026-09-04T20:00:00Z,HYP-20DEC30-CDE,2.2e-05,84.722488,85.88,84.795,84.68,9351,22222,2026-09-04T20:31:22Z
2026-09-04T20:00:00Z,LCP-20DEC30-CDE,6e-06,50.721355,51.67,50.74,50.71,3130,5249,2026-09-04T20:31:22Z
2026-09-04T20:00:00Z,LNP-20DEC30-CDE,5e-06,11.691406,11.855,11.698,11.698,4276,9814,2026-09-04T20:31:22Z
2026-09-04T20:00:00Z,NER-20DEC30-CDE,1.2e-05,2.11163,1.9821,2.124,2.1192,1305,10317,2026-09-04T20:31:22Z
2026-09-04T20:00:00Z,OND-20DEC30-CDE,-5e-06,0.357565,0.3676,0.35815,0.3579,5029,10558,2026-09-04T20:31:22Z
2026-09-04T20:00:00Z,PAU-20DEC30-CDE,2e-06,4431.66,4475.7,4430.85,4432.3,1156,2197,2026-09-04T20:31:22Z
2026-09-04T20:00:00Z,PEP-20DEC30-CDE,1.1e-05,0.00357,0.00381,0.0035725,0.003571,609,4872,2026-09-04T20:31:22Z
2026-09-04T20:00:00Z,POP-20DEC30-CDE,-5e-06,0.868743,0.896,0.869,0.869,4413,4769,2026-09-04T20:31:22Z
2026-09-04T20:00:00Z,SHP-20DEC30-CDE,7e-06,0.005227,0.00544,0.005215,0.00521,3082,4239,2026-09-04T20:31:22Z
2026-09-04T20:00:00Z,SLP-20DEC30-CDE,-2e-06,101.657165,105.24,101.675,101.64,36037,63751,2026-09-04T20:31:22Z
2026-09-04T20:00:00Z,SUP-20DEC30-CDE,8e-06,0.758088,0.7897,0.75905,0.7581,5041,17564,2026-09-04T20:31:22Z
2026-09-04T20:00:00Z,TEK-19DEC30-CDE,4e-06,3962.973965,3976.5,3961.9,3961.4,597,4973,2026-09-04T20:31:22Z
2026-09-04T20:00:00Z,US5-19DEC30-CDE,-5e-06,3110.090277,3124.3,3108.95,3109.1,1288,3715,2026-09-04T20:31:22Z
2026-09-04T20:00:00Z,XLP-20DEC30-CDE,3e-06,0.179182,0.18797,0.179355,0.17924,3820,7682,2026-09-04T20:31:22Z
2026-09-04T20:00:00Z,XPP-20DEC30-CDE,3e-06,1.39779,1.4734,1.3979,1.3974,48880,138117,2026-09-04T20:31:22Z
2026-09-04T20:00:00Z,ZEC-20DEC30-CDE,-6e-06,1037.298209,970,1040.225,1039.65,8196,79559,2026-09-04T20:31:22Z
